url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
"https://wiadomosci.dziennik.pl/polityka/artykuly/458388,sejm-przyjal-informacje-sikorskiego-na-temat-polskiej-polityki-zagranicznej.html","https://wiadomosci.dziennik.pl/polityka/artykuly/458388,sejm-przyjal-informacje-sikorskiego-na-temat-polskiej-polityki-zagranicznej.html",Sejm przyjął informację Sikorskiego na temat polityki zagranicznej,,"Radosław Sikorski przedstawił informację wczoraj. Powiedział między innymi, że rosyjskie działania na Ukrainie łamią zasady pokojowego współżycia narodów.

Podkreślił, że w imię zasad Karty Narodów Zjednoczonych i Aktu Końcowego KBWE, Polska będzie bronić pokoju w Europie. Jak zaznaczył minister, użycie przez Rosję sił zbrojnych na Ukrainie jest prawnie niedopuszczalne i politycznie niebezpieczne.

Sikorski przyznał, że Unia Europejska ma ograniczoną zdolność do reagowania na sytuacje kryzysowe.

Jego zdaniem, słabość polityk wspólnotowych uwidoczniła się podczas kryzysu ukraińskiego i arabskiej wiosny. Powiedział, że Polska powinna być gotowa na zakłócenia dostaw ropy naftowej i gazu ziemnego.

Zagrożeniom takim ma zapobiec europejska unia energetyczna. Szef MSZ dodał, że wydarzenia na Ukrainie ""powinny zmobilizować"" Polskę do szybszego przyjęcia euro.",Sejm przyjął informację ministra spraw zagranicznych o kierunkach polskiej polityki zagranicznej w 2014 roku. Wniosek Prawa i Sprawiedliwości o jej odrzucenie nie zyskał poparcia większości posłów.,por,dziennik,Dziennik,fake news,8a00d190-5a65-49e2-9621-cd75ef8fd0ad,article,MassiveSum
https://www.punjabijagran.com/punjab/tarntaran-deception-of-land-acquired-by-fraud-documents-8691503.html,https://www.punjabijagran.com/punjab/tarntaran-deception-of-land-acquired-by-fraud-documents-8691503.html,Deception of land acquired by fraud documents,,"ਪ੍ਰਤਾਪ ਸਿੰਘ, ਤਰਨਤਾਰਨ : ਜ਼ਮੀਨ ਦੇ ਤਬਾਦਲੇ ਦੇ ਜਾਅਲੀ ਦਸਤਾਵੇਜ ਤਿਆਰ ਕਰਵਾ ਕੇ ਜ਼ਮੀਨ ਦਾ ਇੰਤਕਾਲ ਕਰਵਾਉਣ ਤੇ ਬੈਂਕ ਤੋਂ ਕਰਜਾ ਲੈਣ ਦੇ ਕਥਿਤ ਦੋਸ਼ 'ਚ ਥਾਣਾ ਸਿਟੀ ਤਰਨਤਾਰਨ ਦੀ ਪੁਲਿਸ ਨੇ ਤਿੰਨ ਭਰਾਵਾਂ ਖ਼ਿਲਾਫ਼ ਧੋਖਾਧੜੀ ਦਾ ਕੇਸ ਦਰਜ ਕੀਤਾ ਹੈ। ਮੁਲਜ਼ਮਾਂ 'ਚ ਇਕ ਨੰਬਰਦਾਰ ਵੀ ਦੱਸਿਆ ਜਾ ਰਿਹਾ ਹੈ। ਜਿਨ੍ਹਾਂ ਦੀ ਗ੍ਰਿਫਤਾਰੀ ਲਈ ਛਾਪੇਮਾਰੀ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ।

ਨਿਰਵੈਲ ਸਿੰਘ ਪੁੱਤਰ ਨਿਰੰਜਨ ਸਿੰਘ ਵਾਸੀ ਸਰਹਾਲੀ ਖੁਰਦ ਨੇ ਪੁਲਿਸ ਨੂੰ ਦਰਜ ਕਰਵਾਈ ਸ਼ਿਕਾਇਤ 'ਚ ਕਥਿਤ ਤੌਰ 'ਤੇ ਦੋਸ਼ ਲਗਾਇਆ ਕਿ ਨੰਬਰਦਾਰ ਮਨਜੀਤ ਸਿੰਘ ਪੁੱਤਰ ਬਲਬੀਰ ਸਿੰਘ, ਉਸ ਦੇ ਭਰਾ ਸਤਨਾਮ ਸਿੰਘ ਅਤੇ ਹਰਜਿੰਦਰ ਸਿੰਘ ਵਾਸੀ ਸਰਹਾਲੀ ਖੁਰਦ ਨੇ ਜਮੀਨ ਦੇ ਤਬਾਦਲੇ ਦੇ ਜਾਅਲੀ ਦਸਤਾਵੇਜ ਸਬ ਰਜਿਸਟਰਾਰ ਦਫਤਰ ਤਰਨਤਾਰਨ 'ਚੋਂ ਤਿਆਰ ਕਰਵਾ ਕੇ ਧੋਖੇ ਨਾਲ ਜ਼ਮੀਨ ਦਾ ਇੰਤਕਾਲ ਕਰਵਾ ਲਿਆ। ਇਨ੍ਹਾਂ ਹੀ ਨਹੀਂ ਉਕਤ ਲੋਕਾਂ ਨੇ ਕੁਝ ਜ਼ਮੀਨ ਤੇ ਯੂਨੀਅ ਬੈਂਕ 'ਚੋਂ ਕਰਜਾ ਲੈ ਲਿਆ। ਜਾਂਚ ਅਧਿਕਾਰੀ ਏਐਸਆਈ ਮੇਜਰ ਸਿੰਘ ਨੇ ਦੱਸਿਆ ਕਿ ਪੁਲਿਸ ਨੇ ਮੁਲਜ਼ਮ ਨੇ ਜਾਂਚ ਉਪਰੰਤ ਮੁਲਜ਼ਮਾਂ ਖ਼ਿਲਾਫ਼ ਕੇਸ ਦਰਜ ਕਰ ਲਿਆ ਹੈ। ਜਿਨ੍ਹਾਂ ਦੀ ਗ੍ਰਿਫਤਾਰੀ ਲਈ ਛਾਪੇਮਾਰੀ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ।",ਜ਼ਮੀਨ ਦੇ ਤਬਾਦਲੇ ਦੇ ਜਾਅਲੀ ਦਸਤਾਵੇਜ ਤਿਆਰ ਕਰਵਾ ਕੇ ਜ਼ਮੀਨ ਦਾ ਇੰਤਕਾਲ ਕਰਵਾਉਣ ਤੇ ਬੈਂਕ ਤੋਂ ਕਰਜਾ ਲੈਣ ਦੇ ਕਥਿਤ ਦੋਸ਼ 'ਚ ਥਾਣਾ ਸਿਟੀ ਤਰਨਤਾਰਨ ਦੀ ਪੁਲਿਸ ਨੇ ਤਿੰਨ ਭਰਾਵਾਂ ਖ਼ਿਲਾਫ਼ ਧੋਖਾਧੜੀ ਦਾ ਕੇਸ ਦਰਜ ਕੀਤਾ ਹੈ।,por,punjabijagran,Punjab Jagran,fake news,7fff7edb-bfea-40c8-8d34-0627cabd630b,article,MassiveSum
https://www.punjabijagran.com/sports/general-padma-shri-lamba-ram-is-tired-of-getting-treatment-8755600.html,https://www.punjabijagran.com/sports/general-padma-shri-lamba-ram-is-tired-of-getting-treatment-8755600.html,Padma Shri Lamba Ram is tired of getting treatment,,"ਅਭਿਸ਼ੇਕ ਤਿ੍ਪਾਠੀ, ਨਵੀਂ ਦਿੱਲੀ : ਅਰਜੁਨ ਐਵਾਰਡੀ ਤੇ ਪਦਮਸ੍ਰੀ ਨਾਲ ਸਨਮਾਨਿਤ ਸਾਬਕਾ ਤੀਰਅੰਦਾਜ਼ ਲਿੰਬਾ ਰਾਮ ਸਰਕਾਰੀ ਹਸਪਤਾਲ ਵਿਚ ਆਪਣੇ ਇਲਾਜ ਲਈ ਦਿੱਲੀ 'ਚ ਠੋਕਰਾਂ ਖਾ ਰਿਹਾ ਹੈ। ਇਕ ਸਮਾਂ ਸੀ ਜਦ ਦੇਸ਼ ਵਿਚ ਤੀਰਅੰਦਾਜ਼ੀ ਦਾ ਮਤਲਬ ਲਿੰਬਾ ਰਾਮ ਹੋਇਆ ਕਰਦਾ ਸੀ। ਉਹ ਭਾਰਤੀ ਓਲੰਪਿਕ ਸੰਘ (ਆਈਓਏ), ਭਾਰਤੀ ਤੀਰਅੰਦਾਜ਼ੀ ਸੰਘ (ਏਏਆਈ), ਭਾਰਤੀ ਖੇਡ ਅਥਾਰਟੀ (ਸਾਈ), ਰਾਜਸਥਾਨ ਸਰਕਾਰ, ਕੇਂਦਰ ਸਰਕਾਰ ਕਿਸੇ ਦੀ ਵੀ ਬੁਰਾਈ ਨਹੀਂ ਕਰਦੇ। ਉਨ੍ਹਾਂ ਦੀ ਪਤਨੀ ਜੇਨੀ ਨੇ ਜਦ ਕੁਝ ਦੱਸਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਵੀ ਕੀਤੀ ਤਾਂ ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਨੂੰ ਰੋਕ ਦਿੱਤਾ। ਹਾਲਾਂਕਿ ਉਨ੍ਹਾਂ ਦੀ ਪਤਨੀ ਜੇਨੀ ਨੇ ਵੱਖ ਹੋ ਕੇ ਗੱਲ ਕੀਤੀ ਤੇ ਕਿਹਾ ਕਿ ਡਾਕਟਰ ਕਹਿ ਰਹੇ ਹਨ ਕਿ ਉਨ੍ਹਾਂ ਦੇ ਦਿਮਾਗ਼ ਦੇ ਸੱਜੇ ਹਿੱਸੇ ਵਿਚ ਕੁਝ ਪਰੇਸ਼ਾਨੀ ਹੈ। ਇਸ ਤੋਂ ਇਲਾਵਾ ਐੱਲ-3, 4, 5 ਤੇ ਮੋਰੋ ਸਰਵਾਈਕਲ ਵੀ ਉਨ੍ਹਾਂ ਨੂੰ ਹੈ। ਇਸ ਤੋਂ ਇਲਾਵਾ ਹੋਰ ਵੀ ਕਈ ਬਿਮਾਰੀਆਂ ਹਨ। 2000 ਤੋਂ 2004 ਤਕ ਵੀ ਉਹ ਬਹੁਤ ਬਿਮਾਰ ਸਨ।

2012 ਵਿਚ ਲੰਡਨ ਓਲੰਪਿਕ ਵਿਚ ਉਹ ਟੀਮ ਨਾਲ ਕੋਚ ਵਜੋਂ ਗਏ ਸਨ। ਲੰਡਨ ਵਿਚ ਉਨ੍ਹਾਂ ਦੀ ਬਿਮਾਰੀ ਵਧ ਗਈ। ਉਨ੍ਹਾਂ ਨੇ 16 ਸਾਲ ਦੀ ਉਮਰ ਵਿਚ ਪਹਿਲੀ ਵਾਰ ਓਲੰਪਿਕ ਵਿਚ ਹਿੱਸਾ ਲਿਆ ਸੀ ਅੱਜ ਅਜਿਹਾ ਕੋਈ ਕਰਦਾ ਤਾਂ ਉਸ ਨੂੰ ਬਹੁਤ ਕੁਝ ਮਿਲ ਜਾਂਦਾ। 2015 ਵਿਚ ਲਿੰਬਾ ਨਾਲ ਵਿਆਹ ਕਰਨ ਵਾਲੀ ਜੇਨੀ ਨੇ ਕਿਹਾ ਕਿ 2017 ਵਿਚ ਉਨ੍ਹਾਂ ਨੂੰ ਸ਼ੂਗਰ ਤੇ ਬੀਪੀ ਦੀ ਬਿਮਾਰੀ ਹੋਈ ਤੇ 2018 ਵਿਚ ਉਨ੍ਹਾਂ ਦੀ ਸਥਿਤੀ ਬਹੁਤ ਗੰਭੀਰ ਹੋ ਗਈ।",ਅਰਜੁਨ ਐਵਾਰਡੀ ਤੇ ਪਦਮਸ੍ਰੀ ਨਾਲ ਸਨਮਾਨਿਤ ਸਾਬਕਾ ਤੀਰਅੰਦਾਜ਼ ਲਿੰਬਾ ਰਾਮ ਸਰਕਾਰੀ ਹਸਪਤਾਲ ਵਿਚ ਆਪਣੇ ਇਲਾਜ ਲਈ ਦਿੱਲੀ 'ਚ ਠੋਕਰਾਂ ਖਾ ਰਿਹਾ ਹੈ। ਇਕ ਸਮਾਂ ਸੀ ਜਦ ਦੇਸ਼ ਵਿਚ ਤੀਰਅੰਦਾਜ਼ੀ ਦਾ ਮਤਲਬ ਲਿੰਬਾ ਰਾਮ ਹੋਇਆ ਕਰਦਾ ਸੀ।,por,punjabijagran,Punjab Jagran,fake news,2c1f44e2-12e2-4cd9-bec5-d66fbf8e4d54,article,MassiveSum
https://www.voaafaanoromoo.com/a/3193612.html,https://www.voaafaanoromoo.com/a/3193612.html,Gabaasa guutuu armaan gaditti dhaggeeffadhaa,,English news from the Voice of America. VOA news provides coverage from around the world and learning English lessons from VOA Special English.,English news from the Voice of America. VOA news provides coverage from around the world and learning English lessons from VOA Special English.,por,voaafaanoromoo,VOA Afan Oromo,fake news,05dcaef5-3369-43cf-9e58-c2d20a4ba581,article,MassiveSum
https://www.voaafaanoromoo.com/a/5307337.html,https://www.voaafaanoromoo.com/a/5307337.html,Hidhaa fi Dararaa Suukanneessaadhaa Booda Jaalalaa How’aa Dhalate,,English news from the Voice of America. VOA news provides coverage from around the world and learning English lessons from VOA Special English.,English news from the Voice of America. VOA news provides coverage from around the world and learning English lessons from VOA Special English.,por,voaafaanoromoo,VOA Afan Oromo,fake news,31549441-cb6f-49df-aea1-047f4423b2db,article,MassiveSum
https://www.acorianooriental.pt/noticia/milhares-de-pessoas-junto-ao-parlamento,,Milhares de pessoas junto ao parlamento,,"Precários, estivadores, revisores e vários estrangeiros ouviram o discurso do secretário-geral da CGTP Arménio Carlos, entre os quais Kyriakos Stephanopoulos que, de bandeira grega na mão, afirmou à agência Lusa que na Grécia “dizem que os portugueses são muito passivos, porque isso acontece aos povos que viveram em ditadura”.

Mas este economista acredita que, tal como na Grécia, ”as pessoas vão sofrer tanto que se vão levantar”, acrescentando que embora um turista possa vir a Portugal e não sentir que há crise, quem passa algum tempo no país percebe que “as pessoas estão a sofrer”.

“Quando cheguei em junho fiquei admirado por haver tantos festivais, tanta cultura e pensei: Mas isto é um país em crise? Depois começaram as manifestações e ai vi que há um problema”, contou.

Atualmente Kyriakos trabalha num projeto europeu de intercâmbio, mas a sua vontade é continuar em Portugal apesar das dificuldades.

“Quero ficar cá. Sempre quis vir a Portugal e agarrei logo essa oportunidade. Sei que não vou ter uma vida melhor porque o problema está aqui e eu tenho de fazer parte dele. Sempre que havia uma manifestação na Grécia eu estava lá e aqui farei o mesmo”, disse.

Noutro ponto da manifestação, uma enorme faixa dava voz aos “trabalhadores espanhóis em Portugal em greve contra os cortes”.

Entre as pessoas que seguravam a faixa estava Pedro Barco, professor de espanhol a viver há cinco anos em Portugal.

Em declarações à Lusa, Pedro Barco disse que “em Portugal a situação é um bocadinho pior do que em Espanha porque a economia aqui é mais pequena”.

“Em Portugal e em Espanha há uma campanha para tentar mudar o sentido das coisas mas é muito difícil porque a política da banca é muito rígida e difícil de mudar”, disse.

“O poder financeiro tem muita força, mas se não se fizer nada ficamos sem possibilidades”, acrescentou Pedro Barco.

Depois do fim do discurso do secretário-geral da CGTP parte da manifestação começou a desmobilizar. No entanto mesmo depois da retirada do carro de som da central sindical vários milhares de pessoas permaneciam em frente à escadaria da Assembleia da República.

Ouvem-se palavras de protesto como “Esta dívida não é nossa” acompanhadas de precursões, assobios e outras expressões de descontentamento.

O ambiente é calmo apesar de terem soado alguns petardos. A manifestação tem sido acompanhada por alguns elementos da imprensa internacional.

A greve geral de hoje foi convocada pela CGTP em protesto contra o agravamento das políticas de austeridade e em defesa de políticas alternativas que favoreçam o crescimento económico.","Milhares de pessoas encheram a praça frente à Assembleia da República na confluência de várias manifestações convocadas para assinalar a greve geral, entre os quais cidadãos gregos e espanhóis.",por,acorianooriental,Acorianooriental,fake news,a359bde3-1a0f-45ac-885d-e580b42d03af,article,MassiveSum
https://www.rfi.fr/br/20111206-1-tranche-en-portugais-2011-12-06-1,,1 Tranche en portugais 2011-12-06,,O conteúdo ao qual você tenta acessar não existe ou não está mais disponível.,,por,rfi,RFI,fake news,272a5ed1-2c93-43e8-bd07-1a6d9d5ee374,article,MassiveSum
https://www.acorianooriental.pt/noticia/governo-pode-cortar-6-5-mil-milhoes-de-euros-ate-final-de-2016,,"Governo pode cortar 6,5 mil milhões de euros até final de 2016",,"Segundo a apresentação do ministro das Finanças na Comissão de Orçamento, Finanças e Administração Pública, serão necessárias medidas no valor de 2,8 mil milhões de euros em 2014, 0,7 mil milhões de euros em 2015 e 1,2 mil milhões de euros em 2016.

""No cenário atual, a trajetória do saldo orçamental exige a execução de medidas que ascendem a 2,8 mil milhões de euros em 2014, 700 milhões em 2015 e 1.200 milhões em 2016"", afirmou o governante.

A 15 de março, durante a apresentação dos resultados da sétima avaliação do Programa de Assistência Económica e Financeira, o secretário de Estado Adjunto do primeiro-ministro, Carlos Moedas, explicou que o Governo iria avançar com cortes e contenção de despesa para poupar o equivalente a 500 milhões de euros de forma estrutural, para compensar o desvio criado pelo agravar do cenário macroeconómico.

A 05 de abril o Tribunal Constitucional declarou quatro normas do Orçamento do Estado para 2013 como inconstitucionais, o que provocou um buraco de 1.326 milhões de euros nas contas do Estado para este ano, que serão compensados através de cortes nos programas orçamentais, uma adaptação nos cortes sobre os subsídios por doença e desemprego, uma reprogramação dos fundos comunitários e uma nova renegociação dos contratos com Parcerias Público-Privadas (PPP) rodoviárias.

Se todos estes cortes se somarem, o Governo terá de implementar medidas de 6,5 mil milhões de euros até ao final de 2016, sem contar outros desvios que possam vir a acontecer decorrentes da execução orçamental nestes anos.","O Governo vai avançar com medidas de consolidação orçamental que ascenderão pelo menos a 6,5 mil milhões de euros até final de 2016, com a maior fatia a caber ao próximo ano, na ordem dos 2,8 mil milhões de euros.",por,acorianooriental,Acorianooriental,fake news,1456a3c1-7da6-4651-8323-7aad68f7d09a,article,MassiveSum
"https://rozrywka.dziennik.pl/artykuly/349196,george-clooney-chodzi-z-wrestlerka.html","https://rozrywka.dziennik.pl/artykuly/349196,george-clooney-chodzi-z-wrestlerka.html",Ale numer! George Clooney spotyka się z... wrestlerką!,,"Wybranką najsłynniejszego kawalera Hollywood jest Stacy Keibler, aktorka i modelka, a także była wrestlerka. Niedawno Keibler odwiedziła Clooneya w jego włoskiej rezydencji nad jeziorem Como.

- Jestem w raju - pochwaliła się Keibler na swoim profilu Twitter.

Aktor i jego nowa dziewczyna poznali się przez wspólnego znajomego. Clooneya mogliśmy podziwiać ostatnio w filmie ""Amerykanin"".",Po rozstaniu z Elisabettą Canalis George Clooney pociesza się w ramionach nowej dziewczyny. Bardzo wyjątkową dziewczyną.,por,dziennik,Dziennik,fake news,16fef6eb-7058-4ef7-b883-267859306813,article,MassiveSum
https://www.jn.pt/arquivo/2005/cds-preocupado-com-regresso-de-santana-497246.html,,CDS preocupado com regresso de Santana,,"O vereador do CDS-PP na Câmara Municipal de Lisboa, António Carlos Monteiro, alertou, ontem, para as consequências da eventual decisão de Santana Lopes de regressar à autarquia e de se recandidatar, no resultado das eleições autárquicas.

Pela primeira vez, o CDS-PP quebrou o silêncio a que se remeteu em nome da coligação com o PSD e revelou preocupação com a agitação que reina na Câmara por causa da indefinição do ainda primeiro-ministro.

""A bem de Lisboa"", disse Monteiro, aos jornalistas, à margem da reunião da Assembleia Municipal, há ""uma série"" de questões que ""têm de ser esclarecidas quanto antes"". O dirigente do CDS referia-se não só ao retorno de Santana como ao tabu que tem feito sobre uma sua eventual recandidatura.

Monteiro sublinhou que o partido se mantém ""leal aos acordos firmados com o PSD"", ou seja, não pretende ""quebrar"" a coligação, caso Santana Lopes retorne à autarquia. Mas, acrescentou ""temos que avaliar aquela que é a situação política do momento"". Para Carlos Monteiro, as circunstâncias políticas actuais são relevantes uma vez que os partidos estão já a preparar as candidaturas autárquicas e a indefinição na Câmara pode pode ter como resultado a perda da autarquia para o PS.

No dia em que se aguardava com expectativa que o actual presidente da edilidade, Carmona Rodrigues, fizesse uma comunicação à Assembleia Municipal preparando o regresso de Santana Lopes, a reunião dos deputados decorreu sem o presidente. Carmona não chegou a comparecer na sessão, alegadamente por motivos de saúde.

No Fórum Roma, onde decorre a reunião, o JN foi diversas vezes informado de que Carmona chegaria e falaria à assembleia municipal sobre o regresso do ainda primeiro-ministro. Às 17 horas, duas horas depois de iniciada a sessão, os colaboradores de Carmona Rodrigues informaram os jornalistas de que ele estava indisposto e que, afinal, não iria à sessão. Em seu lugar esteve Pedro Pinto.

O vice-presidente da Câmara garantiu que, ""sem excepção"", todos os vereadores apoiam Santana Lopes.

Fonte camarária assegurou, ao JN, que, na véspera, existiu mesmo uma tentativa de entendimento entre os vereadorees do PSD. Uma das possibilidades colocadas foi a do regresso do primeiro-ministro só até às eleições autárquicas, apoiando depois a candidatura de Carmona.

À porta do Fórum Roma, várias feirantes tentavam, em vão, saber se o futuro da Feira Popular continuará comprometido com o regresso de Santana.","O vereador do CDS-PP na Câmara Municipal de Lisboa, António Carlos Monteiro, alertou, ontem, para as consequências da eventual decisão de Santana Lopes de regressar à autarquia e de se recandidatar, no resultado das eleições autárquicas.",por,jn,Jn,fake news,e2b14915-2158-4fce-9633-dc765b992616,article,MassiveSum
