uuid,article_content,translated_article,date,article_summary,post_content,translated_post,platform,language,standardized_language,category,standardized_topics,organization,standardized_organization,veracity,standardized_veracity,country,standardized_country,source_filepath,verdict,url_factchecking_website,url_factchecking_image,verify_date,source_country,source_organization,factchecker,social_media_views,claim,claim_explanation,source_image_url,countries,generation_model,human_format
360265a3-2faa-4276-ba6e-89411c6dd781,"

Проверка фейков в рамках партнерства с Meta

Кремлевские медиа распространяют сюжет издания BBC, в котором говорится о журналистах Bellingcat, которые якобы от анонимных источников в Международном уголовном суде узнали о деле против Давида Арахамии. Его подозревают в продаже оружия палестинским боевикам ХАМАС.
Это фейк. Журналисты Bellingcat опровергли заявления россиян и отметили, что ничего не сообщали на тему продажи оружия ХАМАС.


Скриншот сообщения

Ни на одной из страниц издания BBC мы не нашли сообщений о якобы уголовном деле против главы фракции «Слуги народа» Давида Арахамии. Более того, новость от «анонимных источников» опровергли журналисты Bellingcat, которые, по версии россиян, эту информацию первые и получили. Bellingcat отметили, что все утверждения, цитаты и само видео сфальсифицированы.
Также пропагандисты неправильно перевели фамилию Давида Арахамии на английский, написав David Arahmia. Хотя правильно будет – David Arakhamia. Обратный поиск отдельных кадров по видео в Google Images не дал результатов. Мы воспользовались запрещенным в Украине Yandex Images и нашли видео, которое использовали россияне. На нем прокурор МКС Карим Хан на заседании Совбеза ООН в сентябре 2022 года говорит о работе над военными преступлениями россии в Украине.


Вверху — скриншот с видео, распространяемый пропагандистами, внизу — оригинальное видео выступления прокурора МКС Карима Хана

По ключевым словам мы также нашли оригинальное выступление британского журналиста и расследователя Bellingcat Элиота Хиггинса.


Вверху – скриншот из видео пропагандистов, внизу – скриншот из оригинального видео с журналистом и расследователем Bellingcat Элиотом Хиггинсом

Отрезок из видео другого британского журналиста Шаяна Сардаризаде также взяли из старого интервью 2020 года, где он рассказывал о распространении фейков COVID-19.
К тому же, если бы BBC и Bellingcat действительно сообщили о судебном деле против Арахамии, новость подхватили бы и другие международные и украинские издания. Однако таких новостей нет в СМИ.

В фейке Украина обвиняется в продаже оружия боевикам ХАМАС. Впрочем, этому нет никаких доказательств. Представитель Главного управления разведки Минобороны Украины Андрей Юсов в эфире телемарафона «Единые новости» подчеркнул, что именно россия передала ХАМАС захваченное в Украине оружие. Следовательно, такие фейковые видео являются частью кремлевской пропаганды по дискредитации Украины.

Ранее мы опровергали схожий фейк, якобы BBC опубликовало видео, где указано, что Евгений Пригожин жив, а авиакатастрофу инсценировали. Издание не выкладывало в сеть подобное видео.
",,29 декабря 2023,, Международный уголовный суд готовит дело против украинского политика Давида Арахамии,,,ru,rus,Media Misinformation,Disinformation Verification,Vox,Vox,FAKE,FALSE,Ukraine,Ukraine,,ФЕЙК,https://voxukraine.org/ru/fejk-mezhdunarodnyj-ugolovnyj-sud-gotovyt-delo-protyv-ukraynskogo-polytyka-davyda-arahamyy,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
29 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",147,ФЕЙК: Международный уголовный суд готовит дело против украинского политика Давида Арахамии,"Это фейк. Журналисты Bellingcat опровергли заявления россиян и отметили, что ничего не сообщали на тему продажи оружия ХАМАС.",https://voxukraine.org/wp-content/uploads/2023/12/kryminalnyy-sud-gotuye-spravu-1.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
efa5e296-89a4-48aa-b5f5-fe9753ad4e6c,"

Проверка фейков в рамках партнерства с Meta

В сети распространяют ролик, якобы разместившийся в Нью-Йорке, в нем указано: «Если даже Snoop Dogg смог отказаться от наркотиков, значит, ты тоже можешь». На экране появляется фото Президента Украины Владимира Зеленского.
Впрочем, это видеофейк. Центр реабилитации, от имени которого распространили рекламу, не публиковал этот ролик, об этом видео также не писали мировые издания. Про эту рекламу пишут только пророссийские медиа и телеграм-каналы.


Скриншот сообщения

Видео заканчивается словами «Желаем выздоровления» (Wish recovery) с логотипом в форме цветка над надписью. По ключевым словам мы нашли реабилитационный центр для алко- и наркозависимых Wish recovery с идентичной формой логотипа, но оригинальный логотип желтого цвета, а не белого, как на видео из сети. Также ни на сайте, ни в соцсетях центра не размещали рекламу. К тому же кажется странным, что реабилитационный центр расположен в штате Калифорния, а рекламируют его в Нью-Йорке, то есть в почти 4700 км от «Wish recovery».


Вверху — видео, распространенное в сети; внизу – логотип реабилитационного центра «Wish recovery»

На видео видна вывеска магазина косметики «Sephora» и магазина «T-Mobile», а большой баннер, на котором якобы разместили рекламу, указывает, что это известная в Нью-Йорке площадь Таймс-сквер. Мы установили, что экраны находятся на перекрестке улицы Западной, 46 и Бродвея.



Скриншот №1 – видео, которое распространили в сети; скриншоты №2-3 — перекресток улицы Западной и Бродвея с Google maps

Первое распространение этого ролика мы зафиксировали 18 ноября в пророссийском телеграм-канале «Сплетница». Надежные медиа и пользователи из других стран не сообщали об этой рекламе. В то же время на экране наверху видна реклама песни «Lolipop» исполнителя Darell, релиз которой состоялся еще в июле 2023 года, а клип был опубликован 8 октября 2023 года. То есть песню будто бы рекламируют уже почти два месяца. Эту рекламу заменяет анонс игры Call of Duty, которую презентовали 10 ноября. Также почти два месяца транслируют рекламу бренда косметики Шарлотты Тилбери (на экране справа). Это дает основание полагать, что фейкометы встроили «рекламу» с Зеленским в оригинальное видео с Таймс-сквер, которое сняли еще в октябре или первой половине ноября 2023 года.


Скриншоты рекламы на видео, распространенные в сети

Ранее мы опровергали видеофейк, якобы в Нью-Йорке показали рекламу спрея от насморка с персонажем, похожим на Зеленского.
",,29 декабря 2023,, Реклама в Нью-Йорке с призывом к Зеленскому лечиться от наркозависимости,,,ru,rus,Media Misinformation,Disinformation Verification,Vox,Vox,VIDEO FAKE,FALSE,Ukraine,Ukraine,,ВИДЕОФЕЙК,https://voxukraine.org/ru/vydeofejk-reklama-v-nyu-jorke-s-pryzyvom-k-zelenskomu-lechytsya-ot-narkozavysymosty,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
29 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",146,ВИДЕОФЕЙК: Реклама в Нью-Йорке с призывом к Зеленскому лечиться от наркозависимости,"Впрочем, это видеофейк. Центр реабилитации, от имени которого распространили рекламу, не публиковал этот ролик, об этом видео также не писали мировые издания. Про эту рекламу пишут только пророссийские медиа и телеграм-каналы.",https://voxukraine.org/wp-content/uploads/2023/12/Reklama-u-Nyu-Y-orku-iz-zaklykom-do-Zelenskogo-1.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
74f8f4fc-cf0c-428e-bc6e-b7df95a81d72,"

Проверка фейков в рамках партнерства с Meta

В сети распространяют видео, в котором рассказывается, что голливудский актер Дэнни Трехо якобы отказался приезжать в Украину, потому что представители Андрея Ермака, главы Офиса Президента Украины, потребовали от него откат в размере $50 тысяч. Об этом якобы сообщил менеджер актера Райан Дэвис в интервью американскому телеканалу MSNBC.
Впрочем, это фейк, на официальном канале MSNBC такого видео нет, а клипы, из которых смонтировали видео, можно найти в Интернете. Представитель Дэнни Трехо подтвердил, что видео фейковое.


Скриншот сообщения

Подобного видео нет на сайте MSNBC, а также на его страницах в фейсбуке, инстаграме и твиттере. Представитель Дэнни Трехо подтвердил изданию Deadline, что видео является фейковым.
Мы обнаружили фрагменты роликов, которые пропагандисты использовали для видеофейка. По обратному поиску нам удалось установить, что на словах Дэнни Трехо отказался сотрудничать с Офисом Президента Украины демонстрируются кадры по выпуску телевизионного шоу Fair Game with Kristine Leahy. Видео опубликовали 12 января 2019, и никаких упоминаний о сотрудничестве Трехо с администрацией Президента Украины в нем не было. Более того, Владимир Зеленский вступил в должность Президента Украины в мае того же года – после того выхода выпуска в эфир.


Вверху – скриншот с видео пропагандистов, внизу – скриншот из оригинального видео

На словах «Во время подкаста для TMZ Live менеджер актера Райан Дэвис рассказал о своем общении с Офисом Президента Владимира Зеленского» демонстрируются кадры из ежедневной программы TMZ Live. В фейковом видео пропагандисты утверждают, что Райан Дэвис якобы рассказал о коммуникации с Офисом Президента в подкасте TMZ, однако мы не нашли ни одного упоминания об этом в выпусках программы. Кроме этого, у актера нет и не было менеджера по имени Райан Дэвис.


Вверху – скриншот с видео пропагандистов, внизу – скриншот из оригинального видео

Кроме этого, на фразе «…представителями Андрея Ермака, главы Офиса Президента Украины» показали кадры, взятые с первого брифинга Андрея Ермака, который состоялся 12 февраля 2020 года.


Вверху – скриншот из видео пропагандистов, внизу – скриншот из оригинального видео

А на отрывке «Основатель TMZ Гарви Левин предположил, что таким образом офис украинского президента заработал на звездах около $700 000» использовали кадры из видео, опубликованного 3 февраля 2016 года, в котором Гарви Левин рассказывает историю об А. Дж. Симпсоне, ни словом не оговорившись об Офисе Президента.
С начала полномасштабного вторжения Дэнни Трехо не был в Украине, но 6 марта 2022 года актер опубликовал на официальном канале своего ресторана видеообращение, в котором осудил россиян и поддержал народ Украины.


Скриншот сообщения

Пропагандисты пишут, что звезды, в том числе Анджелина Джоли и Шон Пенн, получали деньги за то, что приезжали в Украину. Однако официальный представитель ООН Мэтт Солтмарш сообщил CBC News, что актриса поехала в Украину по собственной инициативе. А Офис Президента Украины сообщил, что Шон Пенн специально приехал в Киев, чтобы как документалист зафиксировать все происходящие в Украине события и донести миру правду о вторжении россии.
",,29 декабря 2023,," Дэнни Трехо отказался приехать в Киев в рамках пиар-компании, потому что с него требовали «откат»",,,ru,rus,Media Misinformation,Disinformation,Vox,Vox,FAKE,FALSE,Ukraine,Ukraine,,ФЕЙК,https://voxukraine.org/ru/fejk-denny-treho-otkazalsya-pryehat-v-kyev-v-ramkah-pyar-kompanyy-potomu-chto-s-nego-trebovaly-otkat,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
29 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",83,"ФЕЙК: Дэнни Трехо отказался приехать в Киев в рамках пиар-компании, потому что с него требовали «откат»","Впрочем, это фейк, на официальном канале MSNBC такого видео нет, а клипы, из которых смонтировали видео, можно найти в Интернете. Представитель Дэнни Трехо подтвердил, что видео фейковое.",https://voxukraine.org/wp-content/uploads/2023/12/Denni-Treho-5.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
565af6e9-6402-4180-94ff-4cb84e39f381,"

Проверка фейков в рамках партнерства с Meta

По сети распространяется информация, якобы в Украине продают свитера с надписью «последний украинец».
Однако это фотофейк. Ни в одном украинском интернет-магазине таких объявлений не публиковали.


Скриншот сообщения

Судя по оформлению сайта, картинку для поста пропагандисты могли взять из украинского интернет-магазина ROZETKA. Однако на нем мы не нашли ни одного объявления по запросу «последний украинец». Мы искали свитера с такой же надписью в других украинских маркетплейсах, однако таких товаров нет.
Проверка изображения из поста на ресурсе FotoForensics обнаружила, что надпись «последний украинец», вероятно, прибавили в фоторедакторе.


Скриншот проверки фотографии с поста на ресурсе FotoForensics

Также на скриншоте со свитером отсутствуют такие детали как продавец, название товара, цена и т.д.
Этот фейк – часть дезинформационного нарратива о готовности Запада или Украины воевать «до последнего украинца». Подобные тезисы по этой же теме высказывал российский диктатор путин. На самом деле ни страны НАТО, ни украинское руководство никогда не использовали этот тезис. В своих речах Владимир Зеленский использовал фразу «сражаться до последнего». В частности, он заявлял, что Украина будет биться до последнего города. Также в июле 2022 года президент сообщил, что украинцы будут сражаться за свою государственность до последнего дыхания, патрона и последнего вражеского солдата.
",,29 декабря 2023,, В Украине начали продавать свитера «последний украинец»,,,ru,rus,Disinformation Detection,Disinformation Verification,Vox,Vox,PHOTO FAKE,FALSE,Ukraine,Ukraine,,ФОТОФЕЙК,https://voxukraine.org/ru/fotofejk-v-ukrayne-nachaly-prodavat-svytera-poslednyj-ukraynets,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
29 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",67,ФОТОФЕЙК: В Украине начали продавать свитера «последний украинец»,Однако это фотофейк. Ни в одном украинском интернет-магазине таких объявлений не публиковали.,https://voxukraine.org/wp-content/uploads/2023/12/ostanniy-ukrai-nets-1.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
803bdedd-1d87-4606-989e-abf875a36d83,"Проверка фейков в рамках партнерства с Meta

Российский телеграм-канал распространил информацию о том, что эксглавнокомандующий ВСУ Виктор Муженко сравнил Украину с «фашистской Германией времен Второй мировой войны»

Это манипуляция. Такое сравнение не имело под собой идеологической основы. Оно относилось к опыту неэффективного применения высокотехнологичного оружия Германией во время Второй мировой войны.

Скриншот сообщения

1 декабря 2023 на канале BBC Украина вышло интервью с Виктором Муженко — генералом украинской армии. Во время разговора эксголовнокомандующий отвечал на вопросы о переформатировании фронта, а также о собственной оценке контрнаступательным действиям ВСУ.

Интервьюер поставила вопрос о новейшем оружии, в частности об истребителях F-16. Муженко ответил: «Опыт мировых войн показывает, что одно время появление ракетных систем Фау-1 и Фау-2 и даже Фау-3 в Германии проблему не решили. Германия потерпела поражение. Германия в конце войны уже имела реактивные самолеты, которых не было ни в одной стране. Это не позволило им одержать победу. Значит, по-видимому, ответ на вопрос об успехе лежит в плоскости эффективности применения тех систем, которые есть сегодня. В понимании, в подходах, в организации и овладении этими системами. Тактике внедрения и ее эффективности».

То есть, сравнение военного потенциала Германии и Украины имело сугубо стратегический, а не идеологический контекст. Генерал Муженко имел в виду перспективы победы Украины в войне с рф ввиду обеспеченности вооружением и эффективности его применения.

На это указывают также дальнейшие аргументы генерала: «Поэтому вопрос даже не в том, будут ли эти образцы оружия на вооружении ВСУ единичны. Это проблему не решит. Должно быть системное обеспечение и системное применение в общем комплексе всех средств, которые есть на вооружении. То же касается и самолетов F-16. Ситуацию улучшить в определенные моменты они смогут однозначно. И они были бы нужны нам, пожалуй, не только уже сейчас, но, как говорится, вчера. Но как мы готовы? Какое количество?».

Подобный пример опыта Германии во Второй мировой войне привел военный эксперт Александр Мусиенко в интервью УНИАН, обсуждая важность военных инноваций для Украины: «Любая война ускоряет развитие инноваций, модернизаций и рынок вооружений. Это происходило и во время мировых войн. Хочу напомнить, что в конце Первой мировой войны появились танки, которые ранее не применялись и были разработаны британцами. После этого появились самолеты, а во время Второй мировой, по ее завершению, Германия продемонстрировала экспериментальный полет самолета Мессершмитт с реактивными двигателями… Поэтому война всегда ускоряет развитие технологий».",,29 декабря 2023,, Виктор Муженко сравнил Украину с фашистской Германией,,,ru,rus,Media Misinformation,Disinformation Verification,Vox,Vox,MANIPULATION,Misleading,Ukraine,Ukraine,,МАНИПУЛЯЦИЯ,https://voxukraine.org/ru/manypulyatsyya-vyktor-muzhenko-sravnyl-ukraynu-s-fashystskoj-germanyej,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
29 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",73,МАНИПУЛЯЦИЯ: Виктор Муженко сравнил Украину с фашистской Германией,Это манипуляция. Такое сравнение не имело под собой идеологической основы. Оно относилось к опыту неэффективного применения высокотехнологичного оружия Германией во время Второй мировой войны.,https://voxukraine.org/wp-content/uploads/2023/12/Muzhenko-porivnyav-Ukrai-nu-z-fashystskoyu-Nimechchynoyu.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
4870eb03-271c-4758-b83d-d91b5fd07c08,"

Проверка фейков в рамках партнерства с Meta

В сети распространяют видео Euronews, в котором рассказывают, что, согласно исследованию Института Геллапа, около 75% украинских пользователей интернета якобы смотрели «прямую линию» с путиным с помощью различных VPN-сервисов, а глубина обзора составила рекордные для Украины 50%.
Это фейк. Мы не нашли исследования о пересмотре пресс-конференции путина в Украине на ресурсах Института Гэллапа.


Скриншот сообщения

На сайте Euronews не выпускали подобной новости. Также ее нет в фейсбуке, твиттере, ютубе и инстаграме этого издания.
Исследования о пересмотре пресс-конференции путина в Украине не публиковали на сайте Института Геллапа или в его социальных сетях организации (твиттер, инстаграм, фейсбук, тредс, ютуб). На сайте организации президент россии последний раз упоминался в конце ноября 2023 года — тогда Институт Гэллапа опубликовал результаты исследования, согласно которому летом этого года доверие россиян к армии снизилось, но осталось высоким.
14 декабря 2023 года путин действительно провел пресс-конференцию. В то время как впервые видео об «исследованиях» распространили на следующий день, 15 декабря. То есть, менее чем за сутки исследователи каким-то образом (в видео ничего не сказано о методологии) проанализировали интернет-трафик трансляции и определили количество украинских пользователей, якобы смотревших трансляцию с помощью VPN-сервисов. Однако даже в Украине неизвестно, сколько людей смотрели прямую линию, такой статистики не существует.
",,29 декабря 2023,, 75% пользователей интернета в Украине следили за прямой линией путина,,,ru,rus,Media Misinformation,Disinformation Verification,Vox,Vox,FAKE,FALSE,Ukraine,Ukraine,,ФЕЙК,https://voxukraine.org/ru/fejk-75-polzovatelej-ynterneta-v-ukrayne-sledyly-za-pryamoj-lynyej-putyna,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
29 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",143,ФЕЙК: 75% пользователей интернета в Украине следили за прямой линией путина,Это фейк. Мы не нашли исследования о пересмотре пресс-конференции путина в Украине на ресурсах Института Гэллапа.,https://voxukraine.org/wp-content/uploads/2023/12/75-korystuvachiv-internetu-v-Ukrai-ni-stezhyly-za-pryamoyu-liniyeyu-putina.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
a2f9e311-f9a8-42f8-a850-4de6d8c4c1cb,"

Проверка фейков в рамках партнерства с Meta

Российские телеграм-каналы и медиа распространяют информацию о том, что в Польше больше всего преступлений совершают именно украинцы.
По количеству подозреваемых в совершении преступлений в Польше действительно лидируют украинцы, однако среди иностранцев. В то же время, в стране проживает около 1,5 млн человек с украинским гражданством, и по относительным показателям только 0,15% украинцев подозревают в совершении преступлений в Польше.


Скриншот сообщения

По ключевым словам, нам удалось найти статью от польского издания Rzeczpospolita. Ее опубликовали 17 июля 2023 года. В статье указано о наибольшем количестве правонарушений, совершенных украинцами среди иностранцев, а не населения Польши в целом, за период января-мая 2023 года.
Также для более корректных результатов следует сравнивать не общие, а относительные показатели, а именно количество подозреваемых людей одной национальности с учетом численности людей этой группы на территории страны. Среди 4695 иностранцев, подозреваемых в правонарушениях, статистически больше всего было граждан Украины — 2288 человек. В статье уточняют, что официально в Польше проживает около 1,5 млн граждан Украины – то есть среди проживающих в Польше украинцев лишь 0,15% подозревают в совершении преступления.
В то же время, «лидерами» в количестве подозреваемых по относительным показателям являются грузины. Как пишет Rzeczpospolita, на территории Польши проживает 22 тыс. человек с грузинским гражданством. В то же время в совершении правонарушений подозревается 901 человек, что составляет 4,1% от их общего количества.
",,29 декабря 2023,, Больше всего преступлений в Польше совершают украинцы,,,ru,rus,Media Fact-Checking,Immigration Crime,Vox,Vox,MANIPULATION,Misleading,Ukraine,Ukraine,,МАНИПУЛЯЦИЯ,https://voxukraine.org/ru/manypulyatsyya-bolshe-vsego-prestuplenyj-v-polshe-sovershayut-ukrayntsy,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
29 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",72,МАНИПУЛЯЦИЯ: Больше всего преступлений в Польше совершают украинцы,"По количеству подозреваемых в совершении преступлений в Польше действительно лидируют украинцы, однако среди иностранцев. В то же время, в стране проживает около 1,5 млн человек с украинским гражданством, и по относительным показателям только 0,15% украинцев подозревают в совершении преступлений в Польше.",https://voxukraine.org/wp-content/uploads/2023/12/Nay-bilshe-zlochyniv-u-Polshhi-vchynyayut-ukrai-ntsi.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
d1d19720-8641-4803-9625-f8989cf66747,"

Проверка фейков в рамках партнерства с Meta

Российские пропагандистские каналы распространили новость, будто в Украине издали книгу «Сосны на Донбассе. Воспоминания ветеранов АТО».
Однако это фотофейк. Мы не нашли ни одного упоминания о такой книге, о ней пишут только пророссийские медиа и телеграм-каналы.


Скриншот сообщения

Внизу слева есть надпись по диагонали «Патриотическая книга» на фоне флага Украины. Однако нам не удалось найти ни издательство, ни серию книг с таким названием.
По обратному поиску по изображению в «Яндексе» мы выяснили, что пропагандисты распространяли фейк о «книге» еще с 2020 года. На обложке также изображен военнослужащий ВСУ. Его фотографию российская пропаганда использовала еще в 2017 году, утверждая, что украинский военнослужащий перешел на сторону «ЛНР», а также в 2018 году, распространяя фейковую новость о переходе бойца ВСУ уже на сторону «ДНР».
Оригинальное фото сделали 10 марта 2017 во время учений 81-й отдельной аэромобильной бригады Высокомобильных десантных войск Украины, которые проходили в Житомирской, Ровенской и Днепропетровской областях.


Оригинальное фото, которое использовали для создания «обложки»

",,29 декабря 2023,, В Украине издали книгу «Сосны на Донбассе»,,,ru,rus,Media Misinformation,Disinformation Verification,Vox,Vox,PHOTO FAKE,FALSE,Ukraine,Ukraine,,ФОТОФЕЙК,https://voxukraine.org/ru/fotofejk-v-ukrayne-yzdaly-knygu-sosny-na-donbasse,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
29 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",75,ФОТОФЕЙК: В Украине издали книгу «Сосны на Донбассе»,"Однако это фотофейк. Мы не нашли ни одного упоминания о такой книге, о ней пишут только пророссийские медиа и телеграм-каналы.",https://voxukraine.org/wp-content/uploads/2023/12/Sosny-na-Donbasi-1.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
94270637-5cf4-47f7-ac06-4bf81607c39b,"Проверка фейков в рамках партнерства с Meta

Страницы с логотипом программы «ТСН» распространяют видео, в котором говорится, что согласно постановлению Верховной Рады с 25 ноября 2023 года топливо на заправках в пяти областях Украины будут продавать только мужчинам с военным билетом. Также в этих неназванных областях на АЗС будут находиться представители территориальных центров комплектования (ТЦК). Такое новшество, мол, должно повысить уровень мобилизации. В другом видео представляют аналогичную информацию со ссылкой на решение Ставки Верховного Главнокомандующего от 26 ноября.

Однако это видеофейк. Ни на заседании Ставки, ни на заседании Верховной Рады не принималось соответствующих решений. Видео созданы с помощью искусственного интеллекта (ИИ).

Скриншоты сообщений

В открытых источниках нет информации о заседании Ставки 26 ноября. Накануне, 24 ноября, на Ставке тоже не принимали такие решения. Соответствующего постановления нет на сайте Верховной Рады. Также о нововведениях не сообщали медиа. Кроме того, выдача повестки необязательно означает мобилизацию, военнообязанного могут пригласить в ТЦК для уточнения данных или прохождения военно-лечебной комиссии.

У программы «ТСН» нет официальной страницы в тиктоке, а на страницах, опубликовавших фейковые видео, регулярно распространяют неправдивую информацию якобы от имени ведущих канала «1+1». Да и сами видео кажутся странными, ведь «ведущие» не называют дату, с которой это «решение» вступает в силу (дату на видео добавили авторы ролика) и области, к которым они относятся.

В первом видео ведущая говорит «завтрішнього» вместо «завтрашнього», а в титрах написали: «паливо на заправках в пʼять областях…», хотя правильно будет «в пʼяти областях». Ведущая предлагает перейти по ссылке в телеграм-канал, чтобы просмотреть список областей, где топливо будут продавать только по военному билету. Это нехарактерно для телевизионной программы. Более того, телеграм-канал по ссылке называется «Источник| Новости», так что он не является официальным каналом «ТСН». Вероятно, таким образом авторы телеграм-канала хотели увеличить количество подписчиков.

Во втором видео «ведущий» также допустил несколько ошибок. В частности, он сказал, что «рішення було укладене», хотя правильно — «рішення було ухвалене». В предложении «на заправках у деяких областях країни будуть відпускати тільки…» он пропустил слово «бензин». Также ведущий использовал русизм «воєнкомат» вместо «військкомат» («військовий комісаріат»). К тому же военные комиссариаты переименовали в территориальные центры комплектования и социальной поддержки (ТЦК и СП), поэтому слово «військкомат» использовать некорректно.

Мы проверили ролики с помощью инструмента AI Speech Classifier, который определяет, сгенерировали ли запись на сайте ElevenLabs. С вероятностью 98% видео создали именно в этой программе на основе ИИ. Чтобы скрыть разногласия между мимикой и сказанным текстом, пропагандисты выбрали видео из эфира «ТСН», где ведущая стоит вдали от камеры.

Скриншот проверки в инструменте AI Speech Classifier

Российские ресурсы часто спекулируют на теме мобилизации. В частности, ранее мы опровергали фейк, якобы украинский депутат подтвердил, что власть объявит тотальную мобилизацию населения и, мол, в Украине работников коммунальных служб обяжут раздавать повестки.",,28 декабря 2023,, Топливо на заправках в пяти областях Украины будут продавать только мужчинам с военным билетом,,,ru,rus,Political Misinformation,Deepfake Misinformation,Vox,Vox,VIDEO FAKE,FALSE,Ukraine,Ukraine,,ВИДЕОФЕЙК,https://voxukraine.org/ru/vydeofejk-toplyvo-na-zapravkah-v-pyaty-oblastyah-ukrayny-budut-prodavat-tolko-muzhchynam-s-voennym-byletom,https://voxukraine.org/wp-content/uploads/2022/08/fake-site-1.jpg,"
28 декабря 2023
года ",Вокс Чек,Опровержение фейков,"
Команда VoxCheck ",94,ВИДЕОФЕЙК: Топливо на заправках в пяти областях Украины будут продавать только мужчинам с военным билетом,"Однако это видеофейк. Ни на заседании Ставки, ни на заседании Верховной Рады не принималось соответствующих решений. Видео созданы с помощью искусственного интеллекта (ИИ).",https://voxukraine.org/wp-content/uploads/2023/12/prodavatymut-lyshe-cholovikam-iz-viy-skovym-kvytkom-1.png,Voice Check,"[gpt-4.1,gemini-pro-2.5]",article
